trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.01, 'e': 0.9999999468421502}",20,0,-110.39111406652776,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
165,False,"{'a': 0.01, 'e': 0.9999999441166891}",25,0,-146.7575510157282,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
166,False,"{'a': 0.01, 'e': 0.9999999412514907}",25,13,-2.863704867082447,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.9999999382393905}",20,9,-5.386312722032203,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.9999999350728566}",30,0,-82.0665126477389,"{0: 16, 1: 8, 2: 6, 3: 0, 4: 0}",0
169,False,"{'a': 0.01, 'e': 0.999999931743971}",20,0,-110.80125820059926,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
170,False,"{'a': 0.01, 'e': 0.9999999282444096}",20,10,-35.842401048731055,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.9999999245654222}",20,0,-122.93157921717844,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
172,False,"{'a': 0.01, 'e': 0.9999999206978091}",20,0,-46.039462279049104,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
173,False,"{'a': 0.01, 'e': 0.999999916631899}",25,0,-76.24573207006016,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
174,False,"{'a': 0.01, 'e': 0.9999999123575255}",20,0,-22.768221048581776,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.9999999078640001}",25,0,-134.4997837895562,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
176,False,"{'a': 0.01, 'e': 0.9999999031400869}",20,0,-23.395406375293827,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
177,False,"{'a': 0.01, 'e': 0.9999998981739734}",20,0,-101.40607586088053,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
178,False,"{'a': 0.01, 'e': 0.999999892953242}",20,0,-130.6571148155954,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
179,False,"{'a': 0.01, 'e': 0.9999998874648379}",30,0,-68.2345362286292,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
180,False,"{'a': 0.01, 'e': 0.9999998816950375}",20,0,-85.16772646980598,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
181,False,"{'a': 0.01, 'e': 0.9999998756294132}",20,8,-58.59066928658322,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
182,False,"{'a': 0.01, 'e': 0.9999998692527976}",30,0,-204.0357630991036,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
